w_dataset,w_bm25,Hit@1,Hit@5,Hit@10,Hit@20,Hit@50,Hit@100,Hit@200,Hit@500,Hit@800,Hit@1000
0.46,0.54,0.3521739130434783,0.5480978260869566,0.6364130434782609,0.7165081521739131,0.8175271739130435,0.8710597826086957,0.9120244565217391,0.9489130434782609,0.9598505434782608,0.9633152173913043
0.47,0.53,0.3526494565217391,0.5494565217391304,0.6384510869565218,0.7197690217391305,0.8188858695652174,0.8716711956521739,0.9125,0.9490489130434783,0.9597826086956521,0.9633152173913043
0.48,0.52,0.3528532608695652,0.5495244565217391,0.6404211956521739,0.7218070652173914,0.819429347826087,0.871875,0.9123641304347826,0.9488451086956522,0.9598505434782608,0.9633152173913043
0.49,0.51,0.3527853260869565,0.5509510869565217,0.6425951086956522,0.7255434782608695,0.819429347826087,0.8722146739130435,0.9123641304347826,0.9489130434782609,0.9599184782608695,0.9633152173913043
0.5,0.5,0.3526494565217391,0.5520380434782609,0.6445652173913043,0.7285326086956522,0.8207201086956522,0.8728260869565218,0.9128396739130434,0.9489809782608696,0.9599184782608695,0.9633152173913043
0.51,0.49,0.3527853260869565,0.5530570652173913,0.6463994565217391,0.7307744565217391,0.8213315217391305,0.872554347826087,0.9125,0.9490489130434783,0.9598505434782608,0.9633152173913043
0.52,0.48,0.3529891304347826,0.5533967391304347,0.646875,0.733491847826087,0.8219429347826087,0.8729619565217391,0.912703804347826,0.9489130434782609,0.9598505434782608,0.9633152173913043
0.53,0.47,0.35373641304347825,0.5551630434782608,0.6483695652173913,0.7349184782608695,0.8226902173913043,0.8733695652173913,0.9130434782608695,0.9489130434782609,0.9598505434782608,0.9633152173913043
0.54,0.45999999999999996,0.35434782608695653,0.5564538043478261,0.6494565217391305,0.7359375,0.822758152173913,0.8728260869565218,0.9132472826086957,0.9490489130434783,0.9599184782608695,0.9633152173913043
0.55,0.44999999999999996,0.35427989130434784,0.5565217391304348,0.6508152173913043,0.7370923913043478,0.8234375,0.8735054347826087,0.9131114130434783,0.9491847826086957,0.9599864130434783,0.9633152173913043
0.56,0.43999999999999995,0.3545516304347826,0.5574728260869565,0.6518342391304348,0.7374320652173914,0.8237771739130435,0.8738451086956521,0.9131114130434783,0.9489130434782609,0.9599864130434783,0.9633152173913043
0.57,0.43000000000000005,0.35563858695652173,0.5590353260869565,0.6533288043478261,0.7374320652173914,0.8245244565217391,0.8743206521739131,0.913179347826087,0.9487771739130435,0.9599184782608695,0.9633152173913043
0.58,0.42000000000000004,0.3558423913043478,0.560054347826087,0.6550271739130434,0.7367527173913043,0.8266304347826087,0.8743885869565218,0.9133152173913044,0.9487771739130435,0.9599184782608695,0.9633152173913043
0.59,0.41000000000000003,0.3558423913043478,0.5610054347826087,0.6557065217391305,0.7375,0.8260190217391304,0.8744565217391305,0.9136548913043478,0.9489130434782609,0.960054347826087,0.9633152173913043
