model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,scores
nasa-impact/nasa-ibm-st.38m,percentile,25,50,0.10113059096923833,"[0.1134020618556701, 0.0794392523364486, 0.11055045871559634]"
adsabs/astroBERT,percentile,13,100,0.10967117964000143,"[0.12883435582822086, 0.0865979381443299, 0.11358124494745352]"
bert-base-uncased,percentile,13,100,0.11010503722570629,"[0.130568356374808, 0.08436213991769548, 0.11538461538461539]"
BAAI/bge-small-en,percentile,19,100,0.10418259127535008,"[0.12155591572123177, 0.08078602620087336, 0.11020583190394512]"
nasa-impact/nasa-ibm-st.38m,percentile,25,100,0.10113059096923833,"[0.1134020618556701, 0.0794392523364486, 0.11055045871559634]"
BAAI/bge-large-en-v1.5,percentile,4,50,0.10846835398355043,"[0.12816901408450704, 0.08270676691729323, 0.114529280948851]"
adsabs/astroBERT,percentile,16,50,0.10953123560823115,"[0.12796208530805686, 0.08492569002123142, 0.11570593149540517]"
nasa-impact/nasa-ibm-st.38m,percentile,28,50,0.10033116873180126,"[0.11190053285968028, 0.07729468599033816, 0.11179828734538534]"
BAAI/bge-small-en,percentile,22,50,0.10694390576743518,"[0.12605042016806722, 0.08144796380090498, 0.11333333333333333]"
bert-base-uncased,percentile,16,50,0.10800209439608001,"[0.12796208530805686, 0.080338266384778, 0.11570593149540517]"
nasa-impact/nasa-ibm-st.38m,percentile,28,100,0.10033116873180126,"[0.11190053285968028, 0.07729468599033816, 0.11179828734538534]"
BAAI/bge-small-en,percentile,22,100,0.10694390576743518,"[0.12605042016806722, 0.08144796380090498, 0.11333333333333333]"
adsabs/astroBERT,percentile,16,100,0.10953123560823115,"[0.12796208530805686, 0.08492569002123142, 0.11570593149540517]"
nasa-impact/nasa-ibm-st.38m,percentile,31,50,0.09828969985415975,"[0.10603290676416818, 0.07788944723618091, 0.11094674556213018]"
bert-base-uncased,percentile,16,100,0.10800209439608001,"[0.12796208530805686, 0.080338266384778, 0.11570593149540517]"
BAAI/bge-small-en,percentile,25,50,0.10218227562518219,"[0.12110726643598616, 0.07692307692307693, 0.10851648351648352]"
nasa-impact/nasa-ibm-st.38m,percentile,31,100,0.09828969985415975,"[0.10603290676416818, 0.07788944723618091, 0.11094674556213018]"
adsabs/astroBERT,percentile,19,50,0.10717156272089863,"[0.12337662337662338, 0.08315098468271334, 0.11498708010335917]"
BAAI/bge-large-en-v1.5,percentile,4,100,0.10846835398355043,"[0.12816901408450704, 0.08270676691729323, 0.114529280948851]"
