model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
BAAI/bge-large-en-v1.5,gradient,46,100,0.05873749313775881,[0.047244094488188976, 0.06422018348623854, 0.06474820143884892]
BAAI/bge-large-en-v1.5,gradient,49,50,0.05549126220565937,[0.04766839378238342, 0.05732484076433121, 0.06148055207026349]
BAAI/bge-large-en-v1.5,gradient,49,100,0.05549126220565937,[0.04766839378238342, 0.05732484076433121, 0.06148055207026349]
BAAI/bge-large-en-v1.5,gradient,52,50,0.05438806481305999,[0.047097480832420595, 0.056856187290969896, 0.05921052631578947]
BAAI/bge-large-en-v1.5,gradient,52,100,0.05438806481305999,[0.047097480832420595, 0.056856187290969896, 0.05921052631578947]
BAAI/bge-large-en-v1.5,gradient,55,50,0.05174906395774761,[0.046296296296296294, 0.05653710247349823, 0.05241379310344828]
BAAI/bge-large-en-v1.5,gradient,55,100,0.05174906395774761,[0.046296296296296294, 0.05653710247349823, 0.05241379310344828]
BAAI/bge-large-en-v1.5,gradient,58,50,0.049788919515440615,[0.042997542997543, 0.0599250936329588, 0.04644412191582003]
BAAI/bge-large-en-v1.5,gradient,58,100,0.049788919515440615,[0.042997542997543, 0.0599250936329588, 0.04644412191582003]
BAAI/bge-large-en-v1.5,gradient,61,50,0.047733893549609545,[0.04325032765399738, 0.05533596837944664, 0.04461538461538461]
BAAI/bge-large-en-v1.5,gradient,61,100,0.047733893549609545,[0.04325032765399738, 0.05533596837944664, 0.04461538461538461]
BAAI/bge-large-en-v1.5,gradient,64,50,0.04904149259248149,[0.04207573632538569, 0.05907172995780591, 0.04597701149425287]
BAAI/bge-large-en-v1.5,gradient,64,100,0.04904149259248149,[0.04207573632538569, 0.05907172995780591, 0.04597701149425287]
BAAI/bge-large-en-v1.5,gradient,67,50,0.047189023286410885,[0.04078549848942598, 0.058823529411764705, 0.04195804195804196]
BAAI/bge-large-en-v1.5,gradient,67,100,0.047189023286410885,[0.04078549848942598, 0.058823529411764705, 0.04195804195804196]
BAAI/bge-large-en-v1.5,gradient,70,50,0.04562257940815142,[0.0392156862745098, 0.05825242718446602, 0.039399624765478425]
BAAI/bge-large-en-v1.5,gradient,70,100,0.04562257940815142,[0.0392156862745098, 0.05825242718446602, 0.039399624765478425]
BAAI/bge-large-en-v1.5,gradient,73,50,0.043640372041402274,[0.04107142857142857, 0.05759162303664921, 0.03225806451612903]
BAAI/bge-large-en-v1.5,gradient,73,100,0.043640372041402274,[0.04107142857142857, 0.05759162303664921, 0.03225806451612903]
BAAI/bge-large-en-v1.5,gradient,76,50,0.04229667164810139,[0.03937007874015748, 0.056818181818181816, 0.03070175438596491]
BAAI/bge-large-en-v1.5,gradient,76,100,0.04229667164810139,[0.03937007874015748, 0.056818181818181816, 0.03070175438596491]
BAAI/bge-large-en-v1.5,gradient,79,50,0.03695031552397834,[0.034782608695652174, 0.049689440993788817, 0.026378896882494004]
BAAI/bge-large-en-v1.5,gradient,79,100,0.03695031552397834,[0.034782608695652174, 0.049689440993788817, 0.026378896882494004]
BAAI/bge-large-en-v1.5,gradient,82,50,0.03369539240249057,[0.02926829268292683, 0.04794520547945205, 0.023872679045092837]
BAAI/bge-large-en-v1.5,gradient,82,100,0.03369539240249057,[0.02926829268292683, 0.04794520547945205, 0.023872679045092837]
BAAI/bge-large-en-v1.5,gradient,85,50,0.027223071192276085,[0.027855153203342618, 0.03007518796992481, 0.02373887240356083]
BAAI/bge-large-en-v1.5,gradient,85,100,0.027223071192276085,[0.027855153203342618, 0.03007518796992481, 0.02373887240356083]
BAAI/bge-large-en-v1.5,gradient,88,50,0.02102245827097331,[0.026058631921824105, 0.01680672268907563, 0.020202020202020204]
BAAI/bge-large-en-v1.5,gradient,88,100,0.02102245827097331,[0.026058631921824105, 0.01680672268907563, 0.020202020202020204]
BAAI/bge-large-en-v1.5,gradient,91,50,0.019562243502051983,[0.027450980392156862, 0.0196078431372549, 0.011627906976744186]
BAAI/bge-large-en-v1.5,gradient,91,100,0.019562243502051983,[0.027450980392156862, 0.0196078431372549, 0.011627906976744186]
BAAI/bge-large-en-v1.5,gradient,94,50,0.014996994966569003,[0.0196078431372549, 0.011494252873563218, 0.013888888888888888]
BAAI/bge-large-en-v1.5,gradient,94,100,0.014996994966569003,[0.0196078431372549, 0.011494252873563218, 0.013888888888888888]
BAAI/bge-large-en-v1.5,gradient,97,50,0.008195488721804511,[0.013157894736842105, 0.0, 0.011428571428571429]
BAAI/bge-large-en-v1.5,gradient,97,100,0.008195488721804511,[0.013157894736842105, 0.0, 0.011428571428571429]
BAAI/bge-large-en-v1.5,standard_deviation,0.1,50,0.04345158411423472,[0.034722222222222224, 0.026785714285714284, 0.06884681583476764]
BAAI/bge-large-en-v1.5,standard_deviation,0.1,100,0.04345158411423472,[0.034722222222222224, 0.026785714285714284, 0.06884681583476764]
BAAI/bge-large-en-v1.5,standard_deviation,0.2,50,0.03812701443382425,[0.03524229074889868, 0.014563106796116505, 0.06457564575645756]
BAAI/bge-large-en-v1.5,standard_deviation,0.2,100,0.03812701443382425,[0.03524229074889868, 0.014563106796116505, 0.06457564575645756]
BAAI/bge-large-en-v1.5,standard_deviation,0.30000000000000004,50,0.034732992042975315,[0.030844155844155844, 0.010362694300518135, 0.06299212598425197]
BAAI/bge-large-en-v1.5,standard_deviation,0.30000000000000004,100,0.034732992042975315,[0.030844155844155844, 0.010362694300518135, 0.06299212598425197]
BAAI/bge-large-en-v1.5,standard_deviation,0.4,50,0.032233109750557404,[0.024475524475524476, 0.011299435028248588, 0.06092436974789916]
BAAI/bge-large-en-v1.5,standard_deviation,0.4,100,0.032233109750557404,[0.024475524475524476, 0.011299435028248588, 0.06092436974789916]
BAAI/bge-large-en-v1.5,standard_deviation,0.5,50,0.03133567696563513,[0.020872865275142316, 0.012048192771084338, 0.06108597285067873]
BAAI/bge-large-en-v1.5,standard_deviation,0.5,100,0.03133567696563513,[0.020872865275142316, 0.012048192771084338, 0.06108597285067873]
BAAI/bge-large-en-v1.5,standard_deviation,0.6000000000000001,50,0.026871349197786786,[0.012422360248447204, 0.012903225806451613, 0.055288461538461536]
BAAI/bge-large-en-v1.5,standard_deviation,0.6000000000000001,100,0.026871349197786786,[0.012422360248447204, 0.012903225806451613, 0.055288461538461536]
BAAI/bge-large-en-v1.5,standard_deviation,0.7000000000000001,50,0.01946212919739496,[0.013015184381778741, 0.006711409395973154, 0.03865979381443299]
BAAI/bge-large-en-v1.5,standard_deviation,0.7000000000000001,100,0.01946212919739496,[0.013015184381778741, 0.006711409395973154, 0.03865979381443299]
BAAI/bge-large-en-v1.5,standard_deviation,0.8,50,0.02062183414642431,[0.013888888888888888, 0.006993006993006993, 0.040983606557377046]
BAAI/bge-large-en-v1.5,standard_deviation,0.8,100,0.02062183414642431,[0.013888888888888888, 0.006993006993006993, 0.040983606557377046]
BAAI/bge-large-en-v1.5,standard_deviation,0.9,50,0.019019512378218095,[0.015267175572519083, 0.007407407407407408, 0.034383954154727794]
